,frame,behaviour,hit,values,freq
367,367,Nothing,,,
368,368,Nothing,,,
369,369,Nothing,,,
370,370,Nothing,,,
371,371,Nothing,,,
372,372,Nothing,,,
373,373,Nothing,,,
374,374,Nothing,,,
375,375,Nothing,,,
376,376,Nothing,,,
377,377,Nothing,,,
378,378,Nothing,,,
379,379,Nothing,,,
380,380,Nothing,,,
381,381,Nothing,,,
382,382,Nothing,,,
383,383,Nothing,,,
384,384,Nothing,,,
385,385,Nothing,,,
386,386,Nothing,,,
387,387,Nothing,,,
388,388,Nothing,,,
389,389,Nothing,,,
390,390,Nothing,,,
391,391,Nothing,,,
392,392,Nothing,,,
393,393,Nothing,,,
394,394,Nothing,,,
395,395,Nothing,,,
396,396,Nothing,,,
397,397,Nothing,,,
398,398,Nothing,,,
399,399,Nothing,,,
400,400,Nothing,,,
401,401,Nothing,,,
402,402,Nothing,,,
403,403,Nothing,,,
404,404,Nothing,,,
405,405,Nothing,,,
406,406,Nothing,,,
407,407,Nothing,,,
408,408,Nothing,,,
409,409,Nothing,,,
410,410,Nothing,,,
411,411,Nothing,,,
412,412,Nothing,,,
413,413,Nothing,,,
414,414,Nothing,,,
415,415,Nothing,,,
416,416,Nothing,,,
417,417,Nothing,,,
418,418,Nothing,,,
419,419,Nothing,,,
420,420,Nothing,,,
421,421,Nothing,,,
422,422,Nothing,,,
423,423,Nothing,,,
424,424,Nothing,,,
425,425,Nothing,,,
426,426,Nothing,,,
427,427,Nothing,,,
428,428,Nothing,,,
429,429,Nothing,,,
430,430,Nothing,,,
431,431,Nothing,,,
432,432,Nothing,,,
433,433,Nothing,,,
434,434,Nothing,,,
435,435,Nothing,,,
436,436,Nothing,,,
437,437,Nothing,,,
438,438,Nothing,,,
439,439,Nothing,,,
440,440,Nothing,,,
441,441,Nothing,,,
442,442,Nothing,,,
443,443,Nothing,,,
444,444,Nothing,,,
445,445,Nothing,,,
446,446,Nothing,,,
447,447,Nothing,,,
448,448,Nothing,,,
449,449,Nothing,,,
450,450,Nothing,,,
451,451,Nothing,,,
452,452,Nothing,,,
453,453,Nothing,,,
454,454,Nothing,,,
455,455,Nothing,,,
456,456,Nothing,,,
457,457,Nothing,,,
458,458,Nothing,,,
459,459,Nothing,,,
460,460,Nothing,,,
461,461,Nothing,,,
462,462,Nothing,,,
463,463,Nothing,,,
464,464,Nothing,,,
465,465,Nothing,,,
466,466,Nothing,,,
467,467,Nothing,,,
468,468,Nothing,,,
469,469,Nothing,,,
470,470,Nothing,,,
471,471,Nothing,,,
472,472,Nothing,,,
473,473,Nothing,,,
474,474,Nothing,,,
475,475,Nothing,,,
476,476,Nothing,,,
477,477,Nothing,,,
478,478,Nothing,,,
479,479,Nothing,,,
480,480,Nothing,,,
481,481,Nothing,,,
482,482,Nothing,,,
483,483,Nothing,,,
484,484,Nothing,,,
485,485,Nothing,,,
486,486,Nothing,,,
487,487,Nothing,,,
488,488,Nothing,,,
489,489,Nothing,,,
490,490,Nothing,,,
491,491,Nothing,,,
492,492,Nothing,,,
493,493,Nothing,,,
494,494,Nothing,,,
495,495,Nothing,,,
496,496,Nothing,,,
497,497,Nothing,,,
498,498,Nothing,,,
499,499,Nothing,,,
500,500,Nothing,,,
501,501,Nothing,,,
502,502,Nothing,,,
503,503,Nothing,,,
504,504,Nothing,,,
505,505,Nothing,,,
506,506,Nothing,,,
507,507,Nothing,,,
508,508,Nothing,,,
509,509,Nothing,,,
510,510,Nothing,,,
511,511,Nothing,,,
512,512,Nothing,,,
513,513,Nothing,,,
514,514,Nothing,,,
515,515,Nothing,,,
516,516,Nothing,,,
517,517,Nothing,,,
518,518,Nothing,,,
519,519,Nothing,,,
520,520,Nothing,,,
521,521,Nothing,,,
522,522,Nothing,,,
523,523,Nothing,,,
524,524,Nothing,,,
525,525,Nothing,,,
526,526,Nothing,,,
527,527,Nothing,,,
528,528,Nothing,,,
529,529,Nothing,,,
530,530,Nothing,,,
531,531,Nothing,,,
532,532,Nothing,,,
533,533,Nothing,,,
534,534,Nothing,,,
535,535,Nothing,,,
536,536,Nothing,,,
537,537,Nothing,,,
538,538,Nothing,,,
539,539,Nothing,,,
540,540,Nothing,,,
541,541,Nothing,,,
542,542,Nothing,,,
543,543,Nothing,,,
544,544,Nothing,,,
545,545,Nothing,,,
546,546,Nothing,,,
547,547,Nothing,,,
548,548,Nothing,,,
549,549,Nothing,,,
550,550,Nothing,,,
551,551,Nothing,,,
552,552,Nothing,,,
553,553,Nothing,,,
554,554,Nothing,,,
555,555,Nothing,,,
556,556,Nothing,,,
557,557,Nothing,,,
558,558,Nothing,,,
559,559,Nothing,,,
560,560,Nothing,,,
561,561,Nothing,,,
562,562,Nothing,,,
563,563,Nothing,,,
564,564,Nothing,,,
565,565,Nothing,,,
566,566,Nothing,,,
567,567,Nothing,,,
568,568,Nothing,,,
569,569,Nothing,,,
570,570,Nothing,,,
571,571,Nothing,,,
572,572,Nothing,,,
573,573,Nothing,,,
574,574,Nothing,,,
575,575,Nothing,,,
576,576,Nothing,,,
